Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
12730,R,19,5,U,-3123.1301,-1483.5511,1.5745014,false,306334.0,0.0,0.0
12744,R,13,7,U,-1102.6735,-1126.6421,-0.010089605,false,-1.0,-10.0,-10.0
12914,R,19,7,U,-806.33276,-1610.6165,0.4785003,false,306622.0,0.0,0.0
12930,R,19,2,U,-3232.0415,1039.0457,-1.5755279,false,306434.0,0.0,0.0
12956,R,19,3,U,-1426.0608,1517.0338,0.021370979,false,375093.0,0.0,0.0
13138,R,19,4,U,-784.72534,1240.814,-1.4681344,false,188979.0,0.0,0.0
13326,R,13,2,U,-2962.3394,619.0628,-0.34524512,false,-1.0,-10.0,-10.0
13331,R,13,6,U,-1654.6576,907.52356,0.10647086,false,-1.0,-10.0,-10.0
13344,R,13,5,U,-2893.5093,-787.6935,-0.38866612,false,-1.0,-10.0,-10.0
13368,R,19,6,U,-2076.8975,-1427.974,1.4109832,false,375282.0,0.0,0.0
13377,R,13,4,U,-1625.7687,-1196.0801,-0.026705045,false,-1.0,-10.0,-10.0
13514,R,19,1,U,-4500.373,1744.7806,-1.9980806,false,307119.0,0.0,0.0
13604,R,13,1,U,-4076.2896,630.70416,-0.27173156,false,-1.0,-10.0,-10.0
13727,R,19,5,U,-3151.772,-1284.8499,1.5578358,false,307369.0,0.0,0.0
13745,R,13,7,U,-1112.3969,-786.4384,-0.20332891,false,-1.0,-10.0,-10.0
13981,R,19,7,U,-779.8087,-1528.5219,-0.17661445,false,307622.0,0.0,0.0
14046,R,19,3,U,-1399.3303,1675.2805,0.22140838,false,376159.0,0.0,0.0
14080,R,19,2,U,-3271.5085,895.7389,-1.6082153,false,307467.0,0.0,0.0
14164,R,19,4,U,-772.6168,1127.0269,-1.4495642,false,190012.0,0.0,0.0
14336,R,13,2,U,-2856.7378,514.9749,0.040789437,false,-1.0,-10.0,-10.0
14342,R,13,6,U,-1660.2109,871.89215,-0.14922589,false,-1.0,-10.0,-10.0
14343,R,13,5,U,-3002.6396,-616.3115,-0.29325968,false,-1.0,-10.0,-10.0
14348,R,13,4,U,-1653.5656,-1020.7037,0.19828886,false,-1.0,-10.0,-10.0
14372,R,19,6,U,-2047.1195,-1341.7976,1.3885903,false,376311.0,0.0,0.0
14469,R,19,1,U,-4801.6885,1764.0752,-0.97028905,false,308135.0,0.0,0.0
14583,R,13,1,U,-4078.066,429.54648,0.07353662,false,-1.0,-10.0,-10.0
14775,R,13,7,U,-1138.7906,-636.43866,-0.09825142,false,-1.0,-10.0,-10.0
14867,R,19,5,U,-3106.7205,-1171.7821,1.6936963,false,308469.0,0.0,0.0
14923,R,19,7,U,-754.40405,-1496.9241,-0.28111935,false,308669.0,0.0,0.0
15082,R,19,3,U,-1434.1189,1693.0353,0.21706274,false,377225.0,0.0,0.0
15104,R,19,2,U,-3230.4795,813.9145,-1.5521362,false,308477.0,0.0,0.0
15190,R,19,4,U,-760.5894,892.5551,-1.3904783,false,191024.0,0.0,0.0
15322,R,13,2,U,-2921.3838,582.0694,-0.31297925,false,-1.0,-10.0,-10.0
15336,R,13,6,U,-1576.4314,657.90466,0.17616905,false,-1.0,-10.0,-10.0
15353,R,13,5,U,-3092.596,-573.1065,-0.13802592,false,-1.0,-10.0,-10.0
15441,R,19,6,U,-2085.8665,-1193.3188,1.5083219,false,377378.0,0.0,0.0
15443,R,13,4,U,-1653.0991,-863.28986,0.10031017,false,-1.0,-10.0,-10.0
15468,R,19,1,U,-4817.3193,2159.9421,-0.24205227,false,309135.0,0.0,0.0
15584,R,13,1,U,-4139.211,366.92584,-0.075198725,false,-1.0,-10.0,-10.0
15745,R,13,7,U,-1167.8391,-496.47827,-0.37119856,false,-1.0,-10.0,-10.0
15964,R,19,7,U,-787.97986,-1495.2284,0.0064826673,false,309687.0,0.0,0.0
15990,R,19,5,U,-3090.8406,-1021.20184,1.6576606,false,309532.0,0.0,0.0
16041,R,19,2,U,-3230.7705,627.036,-1.3374686,false,309477.0,0.0,0.0
16097,R,19,3,U,-1434.1194,1693.0355,0.21383245,false,378225.0,0.0,0.0
